pl_name,hostname,hip,hd,snum,sy_dist,ra,dec,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,method,year
EPIC 212297394 b,EPIC 212297394,,,1,418.395,207.20612,-17.6099,,5171,0.8,0.83,,,2.28936,,1.48,,1149,Transit,2019
EPIC 212424622 b,EPIC 212424622,,,1,611.804,202.33138,-14.35944,,,,1.106,,,18.0983,,2.17,,,Transit,2019
EPIC 212499991 b,EPIC 212499991,,,1,283.29,202.48875,-12.73477,,,,0.912,,,34.885,,1.6,,,Transit,2019
Kepler-407 b,Kepler-407,,,1,338.368,286.0363,49.6145,G,5487,1.04,0.99,-0.1079,,0.66931,,1.19,1.93,,Transit,2014
EPIC 212587672 b,EPIC 212587672,,,1,320.07,205.44451,-10.86255,,6004,0.98,0.99,,,15.28078,,1.26,,756,Transit,2019
EPIC 220554210 c,K2-282,,,1,496.289,13.43215,7.99529,,5499,1,,,,0.70531,,1.6,,,Transit,2019
L 98-59 b,L 98-59,,,1,10.619,124.53286,-68.31447,M3 V,3415,0.316,0.292,-1.9136,0.0223,2.25311,0.031,0.837,0.46,620,Transit,2019
L 98-59 c,L 98-59,,,1,10.619,124.53286,-68.31447,M3 V,3415,0.316,0.292,-1.9136,0.0309,3.69068,0.002,1.329,2,526,Transit,2019
L 98-59 d,L 98-59,,,1,10.619,124.53286,-68.31447,M3 V,3415,0.316,0.292,-1.9136,0.0494,7.45073,0.006,1.627,1.64,416,Transit,2019
PDS 70 c,PDS 70,,,1,113.064,212.04214,-41.39804,,4109,,0.982,,34.3,,0.037,22.194,2383.713,1054,Imaging,2019
K2-308 b,K2-308,,,1,1314.53,78.33912,16.4142,,6100,1.24,1.09,,,3.38628,,9.916,,,Transit,2019
Kepler-65 e,Kepler-65,,,1,303.728,288.68872,41.15111,,,1.437,1.248,,,258.8,0.283,,260,,Radial Velocity,2019
